date,length
01.05.2022,62.5
01.05.2022,62.5
01.05.2022,62.5
01.05.2022,67.5
01.05.2022,67.5
01.05.2022,72.5
01.05.2022,77.5
01.05.2022,77.5
01.05.2022,77.5
01.06.2022,67.5
01.06.2022,67.5
01.06.2022,67.5
01.06.2022,72.5
01.06.2022,72.5
01.06.2022,72.5
01.06.2022,72.5
01.06.2022,72.5
01.06.2022,72.5
01.06.2022,72.5
01.06.2022,72.5
01.06.2022,77.5
01.06.2022,77.5
01.06.2022,77.5
01.06.2022,77.5
01.06.2022,77.5
01.06.2022,77.5
01.06.2022,77.5
01.06.2022,77.5
01.06.2022,87.5
01.06.2022,87.5
01.06.2022,87.5
01.06.2022,87.5
01.06.2022,92.5
01.06.2022,92.5
01.06.2022,92.5
01.06.2022,92.5
01.06.2022,92.5
01.06.2022,92.5
01.06.2022,92.5
01.06.2022,92.5
01.06.2022,92.5
01.06.2022,92.5
01.06.2022,92.5
01.06.2022,92.5
01.07.2022,72.5
01.07.2022,77.5
01.07.2022,77.5
01.07.2022,77.5
01.07.2022,82.5
01.07.2022,82.5
01.07.2022,82.5
01.07.2022,82.5
01.07.2022,82.5
01.07.2022,82.5
01.07.2022,82.5
01.07.2022,87.5
01.07.2022,87.5
01.07.2022,87.5
01.08.2022,82.5
01.08.2022,82.5
01.08.2022,82.5
01.08.2022,82.5
01.08.2022,82.5
01.08.2022,87.5
01.08.2022,87.5
01.09.2022,82.5
01.09.2022,82.5
01.09.2022,82.5
01.09.2022,82.5
01.09.2022,82.5
01.09.2022,87.5
01.09.2022,87.5
01.09.2022,87.5
01.09.2022,87.5
01.10.2022,62.5
01.10.2022,62.5
01.10.2022,62.5
01.10.2022,67.5
01.10.2022,67.5
01.10.2022,72.5
01.10.2022,72.5
01.10.2022,77.5
01.10.2022,77.5
01.10.2022,77.5
01.10.2022,82.5
01.10.2022,82.5
01.10.2022,82.5
01.10.2022,82.5
01.10.2022,82.5
01.10.2022,82.5
01.10.2022,82.5
01.10.2022,82.5
01.10.2022,82.5
01.10.2022,82.5
01.10.2022,82.5
01.10.2022,87.5
01.11.2022,72.5
01.11.2022,72.5
01.11.2022,72.5
01.11.2022,72.5
01.11.2022,72.5
01.11.2022,77.5
01.11.2022,77.5
01.11.2022,77.5
01.11.2022,77.5
01.11.2022,77.5
01.11.2022,77.5
01.11.2022,77.5
01.11.2022,77.5
01.11.2022,77.5
01.11.2022,77.5
01.11.2022,77.5
01.11.2022,77.5
01.11.2022,77.5
01.11.2022,77.5
01.11.2022,82.5
01.11.2022,82.5
01.11.2022,82.5
01.11.2022,82.5
01.11.2022,82.5
01.11.2022,82.5
01.11.2022,82.5
01.11.2022,82.5
01.11.2022,82.5
01.12.2022,62.5
01.12.2022,62.5
01.12.2022,67.5
01.12.2022,67.5
01.12.2022,72.5
01.12.2022,72.5
01.12.2022,82.5
01.12.2022,82.5
01.12.2022,87.5
01.12.2022,87.5
01.12.2022,87.5
01.12.2022,87.5
01.12.2022,87.5
01.12.2022,87.5
01.12.2022,87.5
01.12.2022,87.5
01.12.2022,87.5
01.12.2022,87.5
01.12.2022,87.5
01.12.2022,87.5
01.01.2023,57.5
01.01.2023,57.5
01.01.2023,57.5
01.01.2023,62.5
01.01.2023,62.5
01.01.2023,67.5
01.01.2023,67.5
01.01.2023,67.5
01.01.2023,67.5
01.01.2023,67.5
01.01.2023,67.5
01.01.2023,67.5
01.01.2023,67.5
01.01.2023,67.5
01.01.2023,67.5
01.01.2023,67.5
01.01.2023,67.5
01.01.2023,67.5
01.01.2023,67.5
01.01.2023,67.5
01.01.2023,72.5
01.01.2023,72.5
01.01.2023,72.5
01.01.2023,72.5
01.01.2023,72.5
01.01.2023,72.5
01.01.2023,72.5
01.01.2023,72.5
01.01.2023,72.5
01.01.2023,72.5
01.01.2023,72.5
01.01.2023,72.5
01.01.2023,72.5
01.01.2023,77.5
01.01.2023,77.5
01.01.2023,77.5
01.01.2023,77.5
01.01.2023,77.5
01.01.2023,77.5
01.01.2023,77.5
01.01.2023,77.5
01.01.2023,77.5
01.01.2023,82.5
01.01.2023,87.5
01.01.2023,87.5
01.01.2023,87.5
01.01.2023,102.5
01.01.2023,102.5
01.01.2023,102.5
01.01.2023,102.5
01.06.2023,77.5
01.06.2023,77.5
01.06.2023,77.5
01.06.2023,77.5
01.06.2023,77.5
01.06.2023,77.5
01.06.2023,77.5
01.06.2023,77.5
01.06.2023,82.5
01.06.2023,82.5
01.06.2023,82.5
01.06.2023,82.5
01.06.2023,87.5
01.06.2023,87.5
01.06.2023,87.5
01.06.2023,87.5
01.06.2023,87.5
01.06.2023,87.5
01.06.2023,87.5
01.06.2023,87.5
